Time Interval,Date,Temperature (ºF),Temperature (ºC),pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L),pH (YSI),Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH_Hach,Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L)
Weekly,2012-04-07,78.8563,26,NA,26.4,42100,NA,NA,NA,NA,NA,389,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-04-14,78.9688,26.1,NA,26.3,42000,NA,NA,NA,NA,NA,389,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-04-21,79.025,26.1,NA,26.2,42100,NA,NA,NA,NA,NA,386,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-04-28,78.5187,25.8,NA,26.3,41800,NA,NA,NA,NA,NA,353,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-05-05,78.125,25.7,NA,26.3,41700,NA,NA,NA,NA,NA,351,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-05-12,76.1563,24.5,NA,26.2,40600,NA,NA,NA,NA,NA,352,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-05-19,76.8312,24.9,NA,26.1,40800,NA,NA,NA,NA,NA,331,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-07-14,76.1563,24.5,NA,25.9,40200,NA,NA,NA,NA,NA,309,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-07-21,76.9438,25,NA,25.9,40500,NA,NA,NA,NA,NA,299,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-07-28,78.0688,25.6,NA,25.8,40900,NA,NA,NA,NA,NA,293,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-08-04,77.0563,25.1,NA,25.7,40500,NA,NA,NA,NA,NA,293,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-08-11,76.7188,24.9,NA,25.6,37500,NA,NA,NA,NA,NA,287,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-08-18,76.0438,24.5,NA,25.6,39600,NA,NA,NA,NA,NA,285,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-08-25,75.3125,24.1,NA,25.6,39500,NA,NA,NA,NA,NA,283,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-09-01,76.0438,24.5,NA,25.6,39700,NA,NA,NA,NA,NA,274,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-09-08,76.4375,24.7,NA,25.7,40000,NA,NA,NA,NA,NA,267,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-09-15,75.9875,24.4,NA,25.1,38700,NA,NA,NA,NA,NA,266,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-09-22,75.4813,24.2,NA,25.5,39300,NA,NA,NA,NA,NA,256,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-09-29,75.5375,24.2,NA,25.5,39400,NA,NA,NA,NA,NA,248,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-10-06,75.3688,24.1,NA,24.6,37300,NA,NA,NA,NA,NA,245,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-10-13,72.3313,22.4,NA,25.7,38300,NA,NA,NA,NA,NA,249,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-10-20,71.15,21.75,NA,25.65,37700,NA,NA,NA,NA,NA,249,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-01-12,79.925,26.4,NA,25.6,41300,NA,NA,NA,NA,NA,206,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-02-02,79.8688,26.5,NA,25.6,41400,NA,NA,NA,NA,NA,206,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-02-09,79.8688,26.5,NA,25.6,41400,NA,NA,NA,NA,NA,204,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-02-16,79.5875,26.3,NA,25.6,41100,NA,NA,NA,NA,NA,201,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-02-23,79.475,26.2,NA,25.6,41200,NA,NA,NA,NA,NA,199,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-03-02,79.0812,26.1,NA,25.6,41000,NA,NA,NA,NA,NA,197,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-03-09,79.925,26.5,NA,25.6,41400,NA,NA,NA,NA,NA,195,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-03-16,79.9813,26.6,NA,25.6,41400,NA,NA,NA,NA,NA,195,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-03-23,80.9938,27.2,NA,25.7,42000,NA,NA,NA,NA,NA,187,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-03-30,80.375,26.9,NA,25.7,41800,NA,NA,NA,NA,NA,185,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-04-06,80.0375,26.6,NA,25.7,41700,NA,NA,NA,NA,NA,192,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-04-13,80.0375,26.6,NA,25.7,41600,NA,NA,NA,NA,NA,198,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-07-13,74.8625,23.9,NA,25.2,38700,NA,NA,NA,NA,NA,176,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-07-20,75.1437,24,NA,25.2,38800,NA,NA,NA,NA,NA,180,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-07-27,74.5812,23.7,NA,25.2,38600,NA,NA,NA,NA,NA,180,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-08-03,73.6813,23.2,NA,25.1,38100,NA,NA,NA,NA,NA,184,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-08-10,73.4,23,NA,25.1,37900,NA,NA,NA,NA,NA,182,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-08-17,74.2438,23.5,NA,25,38100,NA,NA,NA,NA,NA,179,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-08-24,74.6938,23.8,NA,25,38300,NA,NA,NA,NA,NA,177,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-08-31,73.9625,23.4,NA,24.9,37900,NA,NA,NA,NA,NA,178,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-09-07,74.8063,23.8,NA,24.9,38300,NA,NA,NA,NA,NA,177,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-09-14,73.2313,22.9,NA,24.8,37500,NA,NA,NA,NA,NA,178,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-09-21,73.7938,23.2,NA,24.8,37700,NA,NA,NA,NA,NA,176,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-09-28,74.0187,23.3,NA,24.8,37750,NA,NA,NA,NA,NA,176,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-10-05,75.2,24,NA,24.8,38200,NA,NA,NA,NA,NA,177.5,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-10-12,75.3125,24,NA,24.7,38200,NA,NA,NA,NA,NA,178,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-10-19,74.5812,23.6,NA,24.8,38000,NA,NA,NA,NA,NA,180,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-10-26,73.9063,23.2,NA,24.8,37800,NA,NA,NA,NA,NA,182,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2013-11-23,75.9875,24.4,NA,24.6,38300,NA,NA,NA,NA,NA,177,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-03-01,79.25,26.2,NA,24.9,40100,NA,NA,NA,NA,NA,164,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-03-08,79.4469,26.3,NA,24.7,40000,NA,NA,NA,NA,NA,172,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-03-15,79.6437,26.4,NA,24.6,39900,NA,NA,NA,NA,NA,167,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-03-22,80.0938,26.7,NA,24.6,40100,NA,NA,NA,NA,NA,164,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-05-24,74.5812,23.6,NA,24.7,37800,NA,NA,NA,NA,NA,180,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-05-31,75.3125,24,NA,24.7,37900,NA,NA,NA,NA,NA,186,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-06-07,75.9875,24.5,NA,24.3,38000,NA,NA,NA,NA,NA,176,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-06-14,76.55,24.7,NA,23.8,37800,NA,NA,NA,NA,NA,180,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-06-21,76.6063,24.8,NA,24.3,38100,NA,NA,NA,NA,NA,184,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-06-28,76.6625,24.8,NA,24.3,38100,NA,NA,NA,NA,NA,206,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-07-05,77.0563,25,NA,24.2,38100,NA,NA,NA,NA,NA,201,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-07-12,77.5625,25.3,NA,24.1,38300,NA,NA,NA,NA,NA,186,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-07-19,78.2938,25.7,NA,24.1,38500,NA,NA,NA,NA,NA,176,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-07-26,78.35,25.8,NA,24,38500,NA,NA,NA,NA,NA,172,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-08-02,77.9562,25.5,NA,24,38300,NA,NA,NA,NA,NA,180,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-08-09,76.775,24.9,NA,24,37800,NA,NA,NA,NA,NA,181,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-10-04,74.3563,23.7,NA,23.8,36700,NA,NA,NA,NA,NA,188,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-10-25,72.7813,22.5,NA,24,36000,NA,NA,NA,NA,NA,177,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-11-01,73.175,22.8,NA,24,36300,NA,NA,NA,NA,NA,170,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-11-08,71.9375,22.1,NA,24.1,35800,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-11-15,72.725,22.6,NA,24.1,36200,NA,NA,NA,NA,NA,184,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-11-22,73.87815,23.2,NA,24.2,36900,NA,NA,NA,NA,NA,183,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-11-29,76.0719,24.4,NA,24.3,37900,NA,NA,NA,NA,NA,189,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-12-06,75.65,24.2,NA,24.3,37700,NA,NA,NA,NA,NA,197,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-12-13,77.1125,25,NA,24.2,38200,NA,NA,NA,NA,NA,196,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-12-20,75.9313,24.3,NA,24.3,37800,NA,NA,NA,NA,NA,192,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2014-12-27,74.60935,23.7,NA,24.4,37450,NA,NA,NA,NA,NA,189,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-01-03,69.2938,20.7,NA,24.5,35400,NA,NA,NA,NA,NA,185,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-01-10,69.5188,20.8,NA,24.6,35600,NA,NA,NA,NA,NA,185,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-01-17,70.1375,21.1,NA,24.55,35800,NA,NA,NA,NA,NA,189,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-01-24,70.3063,21.3,NA,24.5,35800,NA,NA,NA,NA,NA,189,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-01-31,70.025,21.1,NA,24.5,35600,NA,NA,NA,NA,NA,187,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-02-07,72.1063,22.3,NA,24.4,36400,NA,NA,NA,NA,NA,193,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-02-14,71.2625,21.7,NA,24.4,35900,NA,NA,NA,NA,NA,187,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-02-21,70.3063,21.3,NA,24.3,35500,NA,NA,NA,NA,NA,166,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-02-28,70.4188,21.3,NA,24.3,35600,NA,NA,NA,NA,NA,167,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-03-07,70.5875,21.4,NA,24.4,35700,NA,NA,NA,NA,NA,164,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-03-14,70.8125,21.5,NA,24.5,35900,NA,NA,NA,NA,NA,164,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-03-21,70.7,21.5,NA,24.2,35700,NA,NA,NA,NA,NA,164,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-03-28,71.6563,22,NA,24.3,36000,NA,NA,NA,NA,NA,165,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-04-04,72.7813,22.7,NA,24.1,36300,NA,NA,NA,NA,NA,167,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-04-11,72.5563,22.5,NA,24.2,36300,NA,NA,NA,NA,NA,167,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-04-18,72.275,22.4,NA,24.3,36300,NA,NA,NA,NA,NA,167,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-04-25,72.6688,22.6,NA,24.3,36400,NA,NA,NA,NA,NA,168,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-05-02,72.5,22.5,NA,24.1,36100,NA,NA,NA,NA,NA,167,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-05-09,73.0625,22.8,NA,23.9,36100,NA,NA,NA,NA,NA,169,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-05-16,72.1063,22.3,NA,24,35900,NA,NA,NA,NA,NA,240,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-05-23,72.1063,22.3,NA,24,35800,NA,NA,NA,NA,NA,238,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-05-30,73.5688,23.1,NA,24,36400,NA,NA,NA,NA,NA,225,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-06-13,76.0438,24.5,NA,24.1,37600,NA,NA,NA,NA,NA,185,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-06-20,77.5063,25.3,NA,24.1,38300,NA,NA,NA,NA,NA,177,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-06-27,78.6313,25.9,NA,24.2,38900,NA,NA,NA,NA,NA,182,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-07-04,79.7,26.5,NA,24.3,39500,NA,NA,NA,NA,NA,185,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-07-11,79.7563,26.5,NA,24.3,39500,NA,NA,NA,NA,NA,181,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-07-18,79.25,26.2,NA,24.2,39100,NA,NA,NA,NA,NA,181,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-07-25,79.1375,26.2,NA,24,39000,NA,NA,NA,NA,NA,180,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-08-01,79.0812,26.2,NA,24,38800,NA,NA,NA,NA,NA,157,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-08-08,79.5875,26.5,NA,24,39000,NA,NA,NA,NA,NA,168,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-09-05,79.025,26.7,NA,21.2,35000,NA,NA,NA,NA,NA,170,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-09-12,78.4063,26.3,NA,21.2,34800,NA,NA,NA,NA,NA,172,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-09-19,78.6313,26.4,NA,21.2,34900,NA,NA,NA,NA,NA,170,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-09-26,76.1563,26,NA,21.5,35100,NA,NA,NA,NA,NA,167,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-10-03,76.55,25.8,NA,21.7,35100,NA,NA,NA,NA,NA,163,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2015-10-10,75.0875,24.4,NA,21.9,34500,NA,NA,NA,NA,NA,165,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
